(34385.780,21163.386)
(57968.621,65389.492)
(47987.450,108419.871)
(35149.313,106992.432)
(65402.328,104054.152)
(109217.258,61598.699)
(46153.842,29382.630)
(-800.848,33030.680)
(2665.711,4659.623)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(-5946.863,-6759.085)
(-39286.768,5482.670)
(6287.882,86843.205)
(1142.251,165895.161)
(76874.267,97006.085)
(52622.762,-20280.948)
(-1480.730,38116.207)
(0.000,0.000)
(15782.781,23146.211)
(0.000,0.000)
(114803.384,35856.193)
(-45625.351,25461.279)
(50243.937,32738.619)
(152001.764,123944.302)
(-7864.339,107180.286)
(8096.933,4231.925)
(-14798.001,98139.750)
(-3578.772,41538.476)
(-28000.681,-33426.732)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(2745.115,1077.480)
(4655.908,14526.005)
(4055.397,-3265.684)
(-34008.657,1412.861)
(-12089.819,17101.477)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(21330.347,25487.754)
(81960.245,65849.201)
(96669.295,74235.948)
(170452.838,87927.701)
(163754.084,92837.719)
(63742.248,11947.460)
(90205.221,13974.739)
(0.000,0.000)
(759.867,86124.092)
(70448.966,21207.047)
(-5419.904,175395.058)
(186960.683,116577.938)
(2462.872,109747.955)
(139415.078,95590.430)
(32313.740,512.995)
(0.000,0.000)
(0.000,0.000)
(3279.760,-1019.521)
(0.000,0.000)
(82320.657,114979.643)
(157043.854,109967.434)
(35977.409,82190.689)
(72525.281,199608.148)
(71840.609,62625.917)
(-28880.970,41958.279)
(16129.205,52702.686)
(0.000,0.000)
(-1498.302,25568.548)
(46448.664,17320.930)
(8375.032,53916.947)
(57601.533,41806.797)
(43238.720,50673.467)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(57379.958,22646.965)
(0.000,0.000)
(-37394.938,66804.137)
(61661.065,136790.612)
(57209.310,77683.843)
(40401.758,13877.318)
(10631.090,2413.492)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(-21155.227,11500.480)
(8932.880,22537.806)
(10876.154,-9717.792)
(-14453.576,9863.470)
(-1856.823,15092.515)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(-24518.549,41598.210)
(0.000,0.000)
(0.000,0.000)
(13641.893,41045.538)
(57873.752,43283.055)
(-2647.775,-8419.159)
(9285.070,49094.225)
(73035.108,32371.072)
(40031.955,24511.083)
(-7540.852,7430.338)
(20991.365,34546.576)
(41918.334,-7160.470)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(32973.413,41276.427)
(63931.251,82030.915)
(-5399.485,47256.531)
(30812.713,36741.822)
(-41065.046,78373.854)
(-47518.585,-8272.065)
(-2062.735,-5621.679)
(0.000,0.000)
(98770.472,12381.309)
(120099.909,25507.975)
(33676.224,27748.229)
(0.000,0.000)
(27831.792,59928.921)
(41688.649,101100.109)
(61370.139,163033.701)
(32144.254,200881.519)
(124699.517,221708.957)
(69559.103,201918.189)
(108569.716,125097.800)
(21629.613,121483.979)
(110780.201,31090.690)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(7139.548,39970.052)
(0.000,0.000)
(-4948.794,-11222.692)
(-8966.853,1628.525)
(-1409.209,34725.001)
(50086.043,98415.021)
(109435.417,162237.998)
(145187.890,109858.686)
(54388.806,33741.874)
(-54560.177,-27043.984)
(-25614.372,-17472.733)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(58296.971,37923.761)
(0.000,0.000)
(-10956.546,-17706.441)
(-22910.279,-19575.641)
(-4690.255,-6821.982)
(0.000,0.000)
(-370.409,9792.804)
(21029.675,24778.890)
(49735.070,25648.855)
(78795.230,66925.688)
(27216.600,25739.257)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(35123.049,8610.234)
(1393.211,31018.390)
(4579.650,10266.813)
(28416.442,81798.306)
(-6734.275,93446.494)
(55996.351,55552.405)
(40764.978,33554.375)
(0.000,0.000)
(8780.666,-14641.472)
(0.000,0.000)
(-122.205,45003.844)
(67566.136,92023.860)
(59061.438,40258.789)
(-6453.396,-19809.882)
(-353.407,1310.261)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(2645.807,-2261.405)
(0.000,0.000)
(27986.247,33869.451)
(0.000,0.000)
(11804.002,15887.843)
(0.000,0.000)
(-24076.943,90667.751)
(-24451.429,46607.256)
(-1853.548,-8207.403)
(0.000,0.000)
(33046.971,47106.398)
(44967.300,46053.878)
(99241.635,95033.106)
(26397.156,63643.091)
(113712.772,120749.548)
(68742.407,60188.421)
(76757.364,-11987.920)
(-8948.692,58785.674)
(57236.577,-22189.238)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(13983.836,-10826.894)
(89112.045,-2717.642)
(118228.593,60856.620)
(38602.388,47383.251)
(125294.615,44424.346)
(189686.937,130033.773)
(11122.676,23158.735)
(46111.749,61335.206)
(81516.777,40725.523)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(-18049.331,-8364.073)
(65380.383,81550.248)
(119465.583,21394.407)
(0.000,0.000)
(-25052.369,2589.928)
(-45629.556,36704.506)
(-25913.634,57757.980)
(53364.269,41609.915)
(-4418.374,58647.751)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(-2235.155,-10659.539)
(38364.145,35685.913)
(14412.351,84210.202)
(30514.090,84713.487)
(-7834.381,27612.204)
(-22774.635,46448.878)
(-9067.398,16436.300)
(0.000,0.000)
(-5672.545,-16750.973)
(-32008.694,2740.921)
(-3354.912,34507.589)
(0.000,0.000)
(110226.228,76543.980)
(82308.516,112435.211)
(10407.743,36197.394)
(0.000,0.000)
(386.482,-7008.596)
(18472.106,-3762.850)
(14563.006,-634.607)
(0.000,0.000)
(-609.324,-2679.161)
(-23563.495,26140.340)
(715.453,39670.429)
(0.000,0.000)
(33792.256,4683.727)
(-15447.240,-14991.332)
(108618.230,14614.315)
(9157.596,18443.022)
(105687.707,36076.850)
(65107.722,65143.155)
(42488.181,91692.116)
(-5665.631,49363.849)
(-20712.482,42688.140)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(16.293,8013.144)
(-17354.292,48226.133)
(-29714.280,22173.407)
(-32407.796,5674.627)
(-13297.260,-2609.394)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(3746.228,34031.639)
(0.000,0.000)
(-6019.905,20161.834)
(-9702.637,10077.900)
(82370.388,-35401.182)
(40402.000,17580.450)
(-99636.106,35339.858)
(65401.324,-718.039)
(118120.435,11086.687)
(0.000,0.000)
(-6541.145,-31993.519)
(-41326.465,66990.577)
(44952.232,-4233.448)
(-31353.719,108083.116)
(63966.119,-579.230)
(-9233.463,50253.899)
(18654.741,-6411.643)
(0.000,0.000)
(58793.187,13593.300)
(0.000,0.000)
(-8063.185,1799.177)
(3907.270,45179.785)
(-7056.016,63883.685)
(26631.595,110815.162)
(-4041.176,85764.592)
(19980.312,38774.137)
(-8867.160,33073.267)
(5999.705,-20948.706)
(2247.069,2027.440)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(-4132.167,5045.175)
(-6949.123,-13689.856)
(13475.577,44421.606)
(-38874.183,18201.513)
(24202.908,13374.986)
(-3962.140,-6785.197)
(-27023.530,47353.222)
(-29072.393,-16865.341)
(-98.873,-22834.082)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(2875.597,33263.772)
(-38523.568,41227.503)
(-23868.609,25064.492)
(-23892.240,52360.108)
(-2974.122,105917.921)
(10403.698,83689.898)
(32397.295,59911.489)
(-24596.609,23949.483)
(-21398.550,17246.505)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
(0.000,0.000)
