1000 97923
833 548 634
462 333 4658
456 236 8177
633 939 2307
783 744 4292
481 985 3131
747 71 4684
404 161 9270
822 604 5764
59 883 5614
279 516 1307
411 391 492
983 76 8520
626 918 899
935 135 360
134 415 6855
147 313 5058
975 175 1257
425 294 4368
511 797 9216
246 811 2929
262 601 4218
972 919 4704
192 258 3202
466 321 6971
49 267 704
165 512 1583
349 820 7947
164 763 8917
691 3 1463
160 223 8356
231 394 1932
702 532 9052
341 813 1202
362 964 4067
205 485 5018
520 419 1080
958 971 2655
245 657 8854
305 351 1748
388 192 3862
635 709 771
46 883 9787
276 376 1929
19 690 4415
441 633 5865
557 192 3165
496 732 6000
662 622 2125
820 53 8556
170 406 8977
299 830 7115
179 40 6754
399 943 5199
187 213 8955
972 371 3700
707 447 2540
73 7 7631
830 438 7593
628 133 4791
735 714 6059
885 284 8238
964 332 2714
728 477 5114
118 874 7969
822 505 2700
24 930 8776
772 203 9863
795 979 4172
934 77 1280
614 458 149
340 399 1565
548 67 2656
412 375 3272
624 744 5865
632 37 8281
34 993 5648
921 674 1049
40 134 367
237 203 6134
896 676 3303
470 916 5148
224 52 9988
181 355 9600
592 93 4203
203 664 103
74 439 8184
933 562 5218
319 464 6972
74 511 9107
918 33 6276
251 848 2632
673 199 8242
104 618 5405
276 475 9124
814 432 7757
148 47 4700
972 841 545
674 836 3675
115 540 8954
620 762 8092
297 335 1427
39 990 6576
341 78 2955
237 795 199
364 69 8459
999 448 7766
625 296 8994
799 815 3348
52 157 1669
867 652 6948
685 878 9314
453 381 8548
435 469 5711
586 945 996
352 265 5333
944 174 2896
1 348 7239
425 11 8887
146 676 5814
180 32 3240
161 994 8602
957 971 6584
284 717 5030
398 165 9737
199 111 8823
972 322 9229
198 4 684
194 996 9355
606 85 6840
903 420 8160
678 299 3811
792 640 2578
717 404 1022
579 212 7599
762 22 6297
560 791 1478
141 20 7029
665 551 8712
106 864 8911
815 479 5702
60 954 3007
669 253 172
255 48 1188
